Date,gm_cap,tesla_cap
2010-11-18,43.9414525281195,1.52439
2010-11-19,44.031417479187006,1.58049
2010-11-22,43.800079033587004,1.7034
2010-11-23,42.733351756653,1.76307
2010-11-24,43.028950881586496,1.80897
2010-11-26,43.44021922932,1.80132
2010-11-29,43.44021922932,1.75083
2010-11-30,43.9543046639865,1.80183
2010-12-01,44.699728544253,1.75185
2010-12-02,44.571207185586,1.64985
2010-12-03,44.404129419319496,1.60599
2010-12-06,44.3141644682535,1.54581
2010-12-07,44.571207185586,1.60956
2010-12-08,44.275608060652495,1.6508699999999998
2010-12-09,43.3631064141195,1.6345499999999997
2010-12-10,43.45307136518699,1.60752
2010-12-13,43.44021922932,1.55805
2010-12-14,43.55588845212,1.45503
2010-12-15,43.196028647853,1.5096
2010-12-16,43.196028647853,1.57131
2010-12-17,43.697261946652496,1.59936
2010-12-20,43.3888106858535,1.6167
2010-12-21,43.504479908653494,1.64526
2010-12-22,44.8796584463865,1.6641300000000003
2010-12-23,44.7382849518525,1.53459
2010-12-27,44.468390098653,1.302999
2010-12-28,45.393743881053,1.34691
2010-12-29,46.293393391719,1.41423
2010-12-30,47.321564261052,1.3515
2010-12-31,47.372972804518504,1.35813
2011-01-03,48.900149269101895,2.662
2011-01-04,50.00851746624272,2.667
2011-01-05,50.2328300775686,2.683
2011-01-06,51.3280034152193,2.788
2011-01-07,51.43356229113718,2.824
2011-01-10,50.879378192567536,2.845
2011-01-11,51.130080522873655,2.696
2011-01-12,50.95854734950672,2.696
2011-01-13,50.4967272673633,2.622
2011-01-14,50.40436325093554,2.575
2011-01-18,50.18005063960967,2.564
2011-01-19,49.34877449175366,2.403
2011-01-20,49.05848758297872,2.262
2011-01-21,49.1376567399179,2.304
2011-01-24,49.665451119508845,2.449
2011-01-25,50.66826044073177,2.468
2011-01-26,49.995322606752595,2.475
2011-01-27,51.02452164695424,2.492
2011-01-28,48.293185732571786,2.401
2011-01-31,48.14804227818354,2.41
2011-02-01,48.0952628402246,2.391
2011-02-02,47.07925865951308,2.394
2011-02-03,47.580663320123776,2.363
2011-02-04,48.27999087308166,2.346
2011-02-07,48.425134327469905,2.307
2011-02-08,48.67583665777448,2.449
2011-02-09,48.04248340226566,2.321
2011-02-10,47.343155849307784,2.3215
2011-02-11,48.0952628402246,2.325
2011-02-14,47.88414508838884,2.308
2011-02-15,47.646637617572836,2.284
2011-02-16,48.49110862491896,2.473
2011-02-17,47.98970396430672,2.36
2011-02-18,48.17443199716378,2.318
2011-02-22,47.19801239492108,2.187
2011-02-23,45.64101897512696,2.183
2011-02-24,43.56942603523356,2.253
2011-02-25,43.87290780349708,2.361
2011-02-28,44.242363869211204,2.389
2011-03-01,43.47706201880426,2.394
2011-03-02,43.3846980023765,2.402
2011-03-03,43.58262089472215,2.436
2011-03-04,42.73814988737757,2.495
2011-03-07,41.827704582582385,2.494
2011-03-08,43.1735802505392,2.466
2011-03-09,42.5534218545205,2.472
2011-03-10,41.45824851686827,2.401
2011-03-11,42.13118635084744,2.407
2011-03-14,41.68256112819568,2.325
2011-03-15,42.68537044941862,2.295
2011-03-16,41.93326345850026,2.282
2011-03-17,41.4846382358485,2.281
2011-03-18,42.02562747492956,2.296
2011-03-21,41.27352048401274,2.273
2011-03-22,40.56099807156473,2.219
2011-03-23,41.11518217013438,2.221
2011-03-24,41.41866393839944,2.233
2011-03-25,41.52422281431732,2.275
2011-03-28,40.70614152595144,2.325
2011-03-29,41.03601301319674,2.392
2011-03-30,41.62978169023674,2.371
2011-03-31,40.94364899676744,2.775
2011-04-01,42.764539606356266,2.666
2011-04-04,42.73814988737757,2.583
2011-04-05,43.371503142886375,2.67
2011-04-06,43.371503142886375,2.649
2011-04-07,42.63259101145814,2.724
2011-04-08,41.59019711176638,2.649
2011-04-11,40.60058265003356,2.527
2011-04-12,41.1019873106458,2.465
2011-04-13,40.71933638544156,2.493
2011-04-14,40.34988031972744,2.514
2011-04-15,39.90125509707568,2.558
2011-04-18,39.54499389085168,2.503
2011-04-19,39.043589230240975,2.516
2011-04-20,39.49221445289274,2.575
2011-04-21,40.83809012084956,2.674
2011-04-25,41.088792451155676,2.639
2011-04-26,41.26032562452262,2.693
2011-04-27,41.93326345850026,2.708
2011-04-28,42.104796631867195,2.766
2011-04-29,42.34230410268321,2.76
2011-05-02,42.4610578380912,2.745
2011-05-03,43.5298414567632,2.687
2011-05-04,43.59581575421226,2.669
2011-05-05,42.24994008625544,2.644
2011-05-06,42.104796631867195,2.712
2011-05-09,41.41866393839944,2.791
2011-05-10,41.708950847174386,2.833
2011-05-11,41.29991020299144,2.707
2011-05-12,41.45824851686827,2.767
2011-05-13,40.99642843472638,2.755
2011-05-16,41.03601301319674,2.66
2011-05-17,41.03601301319674,2.596
2011-05-18,41.59019711176638,2.635
2011-05-19,41.52422281431732,2.82
2011-05-20,41.14157188911462,2.797
2011-05-23,40.85128498033968,2.682
2011-05-24,40.67975180697274,2.672
2011-05-25,41.26032562452262,2.898
2011-05-26,40.48182891462557,2.948
2011-05-27,41.27352048401274,2.955
2011-05-31,41.97284803697062,3.014
2011-06-01,39.888060237585556,2.8517
2011-06-02,39.05678408972956,2.876
2011-06-03,38.42343083422074,3.013
2011-06-06,37.68451870279404,2.87
2011-06-07,37.974805611568975,2.837
2011-06-08,38.08036448748686,2.712
2011-06-09,38.858861197383916,2.762
2011-06-10,38.06716962799674,2.786
2011-06-13,37.72410328126286,2.843
2011-06-14,38.41023597473062,2.86
2011-06-15,38.19911822289486,2.732
